17750908E,Hernandez_Barrios_Emilio,998302032
26916299E,Diaz_Antezano_Magali_Silvana,918342891
14268463E,Raffo_Chung_Adria_Gloria,955534666
37500242E,Vasquez_Paz_Alex_Martin,994848772
61212473A,Castro_Suarez_Rolando,Tesoreria
65071478E,Mejia_Diaz_Blanca_Milagros,994846531
96056368A,Pasquel_Quio_Surami_Janet,Contabilidad
99215341E,Raffo_Arias_Surami_Annie,912348888
33958767A,Aquino_Toro_Valentina_Rocio,Administracion
72832218A,Corrales_Tsukazan_Irma_Lourdes,DTI
63602514A,Auris_Zimic_Javier_Daniel,Tesoreria
49516360D,Delgado_Gonzales_Guillermo_Alfonso,4455
15129661E,Wong_Martel_Madeleine,983726333
87804471A,Cerna_Durand_Martin,DAP
37751890D,Shirakawa_Miranda_Madeleine,5667
66152145E,Salas_Aguero_Daniel,912337777
33115577E,Chumpitaz_Iberos_Ronal,985526212
55917355A,Valverde_Flores_Irma_Ydali,RRHH
77001234D,Diaz_Correa_Irma_Virginia,6212
61039260D,Mejia_De_La_Haza_Francisco_Edgar,7212
54393647A,Norabuena_Preciado_Cinthia,Tesoreria
45834351A,Velasquez_Huayanay_Edgard_Henry,DTI
11750801E,Shirakawa_Ortega_Angel,987266162
83265244D,Pairazaman_Alamo_Moises_Miguel,4312
35030611E,Inga_Flores_Cesar_Adolfo,976355125
50860318E,Prado_Vergel_Carlos_Julian,922322129
81082011D,Arroyo_Gordillo_Maria_Heli,3412
92240876E,Vega_Garcia_Janet_Rebeca,963772712
