FALTAS LEVES
======================================================================
No.       Licencia          Placa          Cantidad       Monto
----------------------------------------------------------------------
001)      26522329          U7R-252            1         158.00
002)      58992942          H8M-598            1         158.00
003)      70414420          A7Y-514            1         158.00
004)      51395324          M4Z-108            1         158.00
005)      79672079          R7U-941            1         158.00
006)      49927087          X3E-271            2         316.00
007)      27864822          T9U-338            1         158.00
008)      64178096          B7V-643            1         158.00
009)      64532449          J0V-437            2         316.00
010)      30046639          P6I-223            2         316.00
011)      37080813          O9W-355            1         158.00
012)      79766395          H7P-047            1         158.00
013)      81528434          D6F-465            1         158.00
014)      88167677          B4C-100            1         158.00
015)      48878256          W6Z-142            2         316.00
016)      47844324          F1H-328            1         158.00
017)      25518120          F2C-703            1         158.00
018)      27864822          R5C-239            2         316.00
019)      60784914          A8J-929            1         158.00
020)      79766395          N6D-256            1         158.00
021)      82031355          H6X-124            1         158.00
022)      52002275          C0S-417            1         158.00
023)      73972114          J2M-606            1         158.00
024)      63291514          L3W-411            1         158.00
025)      79641328          B4R-105            1         158.00
026)      29989682          B1J-773            1         158.00
027)      79641328          L0L-653            1         158.00
028)      34976629          J8B-303            1         158.00
029)      86429854          K1F-766            1         158.00
030)      36079131          I0W-872            1         158.00
031)      73818744          U5N-536            1         158.00
032)      87282766          S1D-093            1         158.00
033)      54141214          J7Y-327            1         158.00
034)      67185679          F1F-571            1         158.00
035)      60784914          C6Q-548            1         158.00
036)      73567806          Q9D-870            1         158.00
037)      30441350          X0F-315            1         158.00
038)      73567806          A7Y-833            1         158.00
**********************************************************************
FALTAS GRAVES
======================================================================
No.       Licencia          Placa          Cantidad       Monto
----------------------------------------------------------------------
001)      81485316          J5T-691            2         632.00
002)      25518120          E1J-798            2         632.00
003)      58992942          Q6B-243            1         316.00
004)      15029228          C0P-895            2         632.00
005)      58992942          V7O-315            3         948.00
006)      27864822          S3D-133            3         948.00
007)      53853385          O5L-856            3         948.00
008)      16477908          X9D-758            1         316.00
009)      63291514          Z1A-459            1         316.00
010)      82870470          C4O-436            2         632.00
011)      30441350          M9Z-497            4        1264.00
012)      53853385          R6P-267            2         632.00
013)      82870470          K0H-387            3         948.00
014)      53853385          T9X-217            4        1264.00
015)      88854166          H3E-885            1         316.00
016)      44188994          M0X-657            2         632.00
017)      73972114          A2F-518            4        1264.00
018)      54447051          G3Y-654            2         632.00
019)      89941095          P6T-244            1         316.00
020)      47528229          U0N-343            2         632.00
021)      45043076          S7E-946            4        1264.00
022)      79641328          L0L-653            1         316.00
023)      32090869          L4B-291            2         632.00
024)      70414420          U5T-348            2         632.00
025)      16925690          R7N-113            4        1264.00
026)      16925690          B4I-014            1         316.00
027)      27185429          U3F-754            2         632.00
028)      67185679          F1F-571            2         632.00
029)      86429854          M5U-987            3         948.00
030)      15559308          T8F-368            3         948.00
031)      90467829          X8U-894            2         632.00
032)      30046639          S3F-021            3         948.00
033)      64178096          G3B-505            1         316.00
034)      29833157          I5K-310            2         632.00
035)      16925690          F3F-478            2         632.00
036)      12858682          T5L-371            1         316.00
037)      75348522          P5B-640            1         316.00
038)      71578206          Y9F-491            2         632.00
039)      74325123          V9F-655            3         948.00
040)      96693273          C0G-556            4        1264.00
041)      71832810          W1C-444            1         316.00
042)      44346371          S4J-282            1         316.00
043)      86718074          Q6I-941            2         632.00
044)      49927087          G7B-252            2         632.00
045)      19568447          D8R-235            1         316.00
046)      30046639          L8F-459            2         632.00
047)      12270502          P7T-999            2         632.00
048)      68303148          H1W-140            2         632.00
049)      54141214          G2I-709            2         632.00
050)      37080813          P7E-145            2         632.00
051)      73357516          G0B-604            4        1264.00
052)      31107104          E0I-722            2         632.00
053)      39244942          N5Y-450            2         632.00
054)      86429854          K1F-766            2         632.00
055)      87282766          S1D-093            4        1264.00
056)      54665716          D2V-055            2         632.00
057)      64532449          J0V-437            1         316.00
058)      60335381          E6T-667            4        1264.00
059)      73567806          W9Z-281            2         632.00
060)      73972114          J2M-606            2         632.00
061)      71578206          G7Z-721            3         948.00
062)      36079131          I0W-872            1         316.00
063)      30441350          T7F-869            1         316.00
064)      24859596          A8P-118            2         632.00
065)      13628871          F3E-797            3         948.00
066)      80457845          Z5G-762            2         632.00
067)      60784914          C6Q-548            2         632.00
068)      82031355          Z5D-724            2         632.00
069)      87495937          L2H-207            3         948.00
070)      66849703          B4N-777            4        1264.00
071)      73357516          J2K-636            3         948.00
072)      43454884          P6Z-734            2         632.00
073)      15559308          X6O-905            2         632.00
074)      31205866          U6A-456            3         948.00
075)      42956681          E0L-862            2         632.00
076)      88854166          L3N-150            2         632.00
077)      99950484          Y9W-731            2         632.00
078)      80457845          M7F-612            1         316.00
079)      35912665          O4X-500            1         316.00
080)      21621497          R5I-860            2         632.00
081)      12443643          R8H-409            1         316.00
082)      73567806          Q9D-870            3         948.00
083)      99950484          Y6I-680            3         948.00
084)      34976629          J8B-303            1         316.00
085)      30441350          Q6Q-335            1         316.00
086)      13219606          T3B-722            1         316.00
087)      34248357          R7N-062            1         316.00
088)      45043076          I1D-713            1         316.00
089)      75348522          X0D-655            1         316.00
090)      89314225          C3A-423            3         948.00
091)      77367073          C2S-070            3         948.00
092)      88167677          V7U-622            1         316.00
093)      53374153          V7L-069            2         632.00
094)      69252518          Y0Y-415            1         316.00
095)      77367073          W4W-684            2         632.00
096)      35912665          A6E-125            2         632.00
097)      13219606          N1O-921            2         632.00
098)      60335381          B3U-845            1         316.00
099)      29989682          W3T-571            1         316.00
100)      15029228          N0Z-560            1         316.00
101)      34248357          H4R-733            2         632.00
102)      35912665          O2Z-308            1         316.00
103)      71832810          T1K-210            2         632.00
104)      90467829          K4H-445            2         632.00
105)      38862473          I4B-541            2         632.00
106)      27185429          S9I-160            1         316.00
107)      29833157          I9F-484            1         316.00
108)      79766395          T3R-184            2         632.00
109)      35671623          P2Q-870            1         316.00
110)      66849703          J2F-853            2         632.00
111)      69252518          P7I-760            2         632.00
112)      48450395          G1P-591            2         632.00
113)      32244565          J1E-736            4        1264.00
114)      30046639          P6I-223            1         316.00
115)      88167677          O0C-616            2         632.00
116)      28820944          H2K-127            3         948.00
117)      81799482          E3U-768            1         316.00
118)      68310808          K2N-341            1         316.00
119)      54141214          J7Y-327            1         316.00
120)      67185679          I2P-193            1         316.00
121)      47528229          G8O-154            1         316.00
122)      50200823          H1E-399            2         632.00
123)      49927087          X3E-271            2         632.00
124)      82031355          H6X-124            1         316.00
125)      29833157          S2N-896            3         948.00
126)      97849227          I0K-077            2         632.00
127)      29989682          B1J-773            2         632.00
128)      87495937          M5G-669            2         632.00
129)      63736112          K0D-676            2         632.00
130)      19963454          D9A-711            1         316.00
131)      60784914          P4Y-758            2         632.00
132)      19963454          X9O-440            3         948.00
133)      77367073          N7K-403            2         632.00
134)      79641328          X8Q-687            1         316.00
135)      79672079          R7U-941            3         948.00
136)      27864822          R5C-239            1         316.00
137)      85501710          Z4K-431            2         632.00
138)      52002275          C0S-417            1         316.00
139)      96693273          F3R-138            2         632.00
140)      75348522          E1L-705            2         632.00
141)      15029228          J0Q-121            2         632.00
142)      12270502          O1C-880            1         316.00
143)      49927087          M8Q-758            1         316.00
144)      34248357          U0T-459            2         632.00
145)      48878256          Z4L-514            1         316.00
146)      27864822          T9U-338            1         316.00
147)      54447051          D5W-773            2         632.00
148)      31107104          O3T-110            2         632.00
149)      48878256          F2F-895            2         632.00
150)      77763722          W2L-827            1         316.00
151)      43454884          G0F-080            1         316.00
152)      50201756          X8O-807            2         632.00
153)      81528434          D6F-465            2         632.00
154)      29989682          W1V-221            2         632.00
155)      34976629          I0Y-720            3         948.00
156)      47844324          F1H-328            1         316.00
157)      50200823          R0P-255            1         316.00
158)      19568447          O7W-705            1         316.00
159)      35297848          O7D-970            1         316.00
160)      82031355          J0J-790            1         316.00
161)      75945248          K6X-977            1         316.00
162)      64532449          K8R-348            2         632.00
163)      88167677          B4C-100            3         948.00
164)      69494747          J8D-125            2         632.00
165)      90467829          C9H-661            1         316.00
166)      90467829          H1R-953            2         632.00
167)      19963454          H8A-390            1         316.00
168)      48528209          T9L-709            2         632.00
169)      54447051          U5L-205            1         316.00
170)      16136330          E3U-231            2         632.00
171)      77763722          D1M-667            1         316.00
172)      73818744          U5N-536            1         316.00
173)      38862473          S6Y-726            2         632.00
174)      25518120          U1X-768            1         316.00
175)      73567806          A7Y-833            1         316.00
176)      16477908          W7C-957            1         316.00
177)      73972114          D8H-157            1         316.00
178)      79672079          Y3Q-331            3         948.00
179)      87495937          Z8C-558            2         632.00
180)      50201756          K5K-595            1         316.00
181)      89941095          R8O-904            1         316.00
182)      32244565          K4F-319            1         316.00
183)      47528229          T8Y-354            1         316.00
184)      52003695          H8S-849            3         948.00
185)      86718074          L4O-783            1         316.00
186)      64178096          I0X-469            1         316.00
187)      45043076          R1T-735            1         316.00
188)      67185679          S7F-983            2         632.00
189)      80310768          O2F-523            1         316.00
190)      26522329          W7R-114            2         632.00
191)      34248357          S5E-231            1         316.00
192)      53374153          R2T-476            1         316.00
193)      96693273          B9X-420            1         316.00
194)      79766395          N6D-256            1         316.00
195)      48450395          Q5S-871            1         316.00
196)      32244565          M8W-853            2         632.00
197)      80457845          W0C-131            1         316.00
198)      68310808          I3A-223            1         316.00
199)      15559308          S3L-803            1         316.00
200)      49428502          C0A-114            2         632.00
201)      13219606          M2Q-712            1         316.00
202)      84186239          T6W-978            1         316.00
203)      35683701          D5W-953            1         316.00
204)      79672079          O3H-954            1         316.00
205)      48878256          G2R-979            1         316.00
206)      35671623          V4E-749            2         632.00
207)      96693273          A6K-820            1         316.00
208)      37080813          O9W-355            1         316.00
209)      26522329          U5W-825            1         316.00
210)      32244565          W9L-468            1         316.00
211)      77763722          A1Q-612            1         316.00
212)      39544560          Y0K-784            1         316.00
213)      64532449          X3Z-285            1         316.00
214)      54141214          Y9G-536            1         316.00
215)      85501710          N2C-590            1         316.00
**********************************************************************
FALTAS MUY GRAVES
======================================================================
No.       Licencia          Placa          Cantidad       Monto
----------------------------------------------------------------------
001)      24859596          A8P-118            1         474.00
002)      99950484          Y9W-731            1           0.00
003)      52002275          J8N-930            1         711.00
004)      16925690          R7N-113            2        1422.00
005)      71578206          Y9F-491            3         948.00
006)      34248357          H4R-733            3        1422.00
007)      29989682          W3T-571            2         948.00
008)      69252518          P7I-760            2        2923.00
009)      29833157          I5K-310            3        1896.00
010)      77367073          C2S-070            2        2449.00
011)      50200823          Q6C-943            1         474.00
012)      80457845          Z5G-762            1         474.00
013)      88167677          Y4Y-028            5        2370.00
014)      15029228          J0Q-121            2         948.00
015)      16477908          I0E-459            2         474.00
016)      32244565          J1E-736            3        1422.00
017)      50201756          K5K-595            1         474.00
018)      67185679          S7F-983            4        1896.00
019)      86429854          K1F-766            3        1422.00
020)      42956681          L8Z-555            1         474.00
021)      84186239          T6W-978            2         948.00
022)      70414420          U5T-348            3        4898.00
023)      53374153          G6I-762            2        6399.00
024)      13219606          T3B-722            2         948.00
025)      13219606          M2Q-712            2         948.00
026)      87495937          M5G-669            1        3950.00
027)      89941095          R8O-904            3        1185.00
028)      48528209          T9L-709            2        5925.00
029)      81799482          V7P-711            1           0.00
030)      88167677          O0C-616            1           0.00
031)      79641328          X8Q-687            2           0.00
032)      73567806          Q9D-870            2        2449.00
033)      25518120          E1J-798            1           0.00
034)      34248357          U0T-459            1         711.00
035)      27185429          U3F-754            1           0.00
036)      35683701          D5W-953            1         474.00
037)      97849227          I0K-077            4        7347.00
038)      88854166          L3N-150            1         474.00
039)      48450395          Q5S-871            1           0.00
040)      54447051          G3Y-654            1         474.00
041)      89941095          P6N-119            1         474.00
042)      19963454          X9O-440            2        1422.00
043)      81528434          D6F-465            1         474.00
044)      79766395          H7P-047            1         474.00
045)      50200823          R0P-255            1         948.00
046)      64178096          I0X-469            2        1185.00
047)      36079131          V4S-057            1         474.00
048)      74325123          H0E-855            1         948.00
049)      80310768          O2F-523            1         474.00
050)      79672079          Y3Q-331            1         474.00
051)      35671623          K0T-350            1         948.00
052)      82031355          Z5D-724            2        2449.00
053)      19963454          D9A-711            2         948.00
054)      81485316          J5T-691            2         948.00
055)      34976629          I0Y-720            1         711.00
056)      48450395          G1P-591            1         474.00
057)      81528434          B3U-020            1         948.00
058)      29989682          B1J-773            3        1422.00
059)      64178096          G3B-505            2        1422.00
060)      60784914          P4Y-758            2        1896.00
061)      44188994          R2L-600            2        4898.00
062)      24859596          B8B-326            1         474.00
063)      19963454          H8A-390            1         474.00
064)      34976629          J8B-303            2         948.00
065)      73357516          P1T-781            1         474.00
066)      79766395          N6D-256            3        2923.00
067)      35671623          V4E-749            2        2449.00
068)      77367073          H9A-097            1         474.00
069)      29833157          I9F-484            1        1975.00
070)      88854166          O0K-148            1         474.00
071)      12858682          T5L-371            3        1896.00
072)      30441350          X0F-315            2         948.00
073)      35912665          O4X-500            2        6399.00
074)      30441350          M9Z-497            1         474.00
075)      45043076          R1T-735            3        1422.00
076)      77763722          A1Q-612            2         474.00
077)      21621497          D6W-048            1         711.00
078)      66849703          B4N-777            1         474.00
079)      73567806          W9Z-281            2        6399.00
080)      54141214          G2I-709            2         474.00
081)      87282766          S1D-093            2         948.00
082)      73567806          A7Y-833            1         474.00
083)      71578206          G7Z-721            4        1896.00
084)      85501710          Z4K-431            1         474.00
085)      90467829          K4H-445            1         474.00
086)      26522329          W7R-114            2           0.00
087)      54447051          D5W-773            1        5925.00
