DY2694         DELICIA ARCA AQUINO                            523.53
1873364        Calixto/Erick                                    3      3.75   1965.13
2330000        Vega/Carmela                                     4      6.12   3203.28
4815159        Patino/Delicia                                   4      7.14   3740.33
5290194        Hernandez/Guillermo                              3      6.77   3546.62
2313890        Rivero/Wilver                                    4      8.59   4495.81
5852072        Jauregui/Victor                                  3      3.49   1826.10
2126128        Durand/Enrique                                   4      5.82   3045.05
3640178        Rodriguez/Blanca                                 4      4.67   2446.63
3939698        Henriquez/Silvana                                3      3.43   1794.84
3731806        Salamanca/Virginia                               1      1.62    847.39
LM6552         GLENDA CABRERA MORI                            940.91
51873364       Calixto/Erick                                    1      1.06    553.63
6988155        Cerna/Cinthia                                    4      7.33   6896.35
6091742        Baca/Milagros                                    4      8.26   7770.87
3231760        Zarate/Alexander                                 5      7.96   7487.81
2287143        Wong/Beatriz                                     4      6.63   6235.36
1422479        Lozada/Felicita                                  4      8.69   8174.16
3961840        Pairazaman/Tatiana                               6     12.01  11302.42
9357767        Solis/Rolando                                    4      9.33   8774.51
XJ7687         MARINA NATALIA GARCIA INGA                     197.06
6988155        Cerna/Cinthia                                    1      1.48   1388.63
5914393        Lozada/Antonio                                   4      6.94   1367.92
6934113        Serrano/Arturo                                   2      4.22    832.52
3282118        Zambrano/Ofelia                                  3      6.27   1235.57
1061535        Solis/Maria                                      4      8.20   1616.17
1284904        Sakaguchi/Carlos                                 2      2.94    579.08
QT4519         JAVIER EDGARD LANDA CABRERA                    897.50
6934113        Serrano/Arturo                                   1      0.68    134.33
3961840        Pairazaman/Tatiana                               2      2.57   2304.83
5912822        Camacho/Ydali                                    4      6.72   6028.46
5606314        Mercado/Elia                                     3      5.09   4572.51
1465986        Sam/Ines                                         4      4.15   3726.87
0371464        Lozada/Heli                                      2      5.01   4495.23
3282118        Zambrano/Ofelia                                  3      4.96   4455.84
EI1383         GUSTAVO ALONSO DEL CASTILLO MEJIA              319.80
3961840        Pairazaman/Tatiana                               1      1.50   1342.76
2484697        Diaz/Enrique                                     1      1.63    522.25
1642949        Miranda/Alfonso                                  4      8.02   2565.42
3731806        Salamanca/Virginia                               1      1.29    412.72
4571095        Infantes/Luis                                    3      4.84   1549.43
7324146        Moscoso/Janet                                    4      4.09   1307.98
4683380        Farfan/Margot                                    1      1.38    442.21
3420926        Prado/Juan                                       4      9.52   3045.56
7709566        Ortiz/Raul                                       2      2.57    820.64
BY928          LUZ SOFIA JAUREGUI BRAVO                       756.45
4683380        Farfan/Margot                                    1      0.85    271.30
1873364        Calixto/Erick                                    4      6.60   4994.46
1061535        Solis/Maria                                      4      7.13   5390.34
9891737        Contreras/Johana                                 2      2.91   2204.63
2313890        Rivero/Wilver                                    4      8.14   6158.55
3939698        Henriquez/Silvana                                3      3.99   3017.39
0371464        Lozada/Heli                                      1      2.61   1973.28
0246960        Escalante/Ines                                   1      2.15   1625.32
2598563        Sueldo/Adria                                     2      5.30   4012.13
CL9349         OFELIA CARMEN MERCADO CARO                     526.45
0246960        Escalante/Ines                                   1      1.26    953.34
5852072        Jauregui/Victor                                  3      5.13   2702.00
5395219        Fuentes/Patricia                                 6     10.62   5591.19
2313890        Rivero/Wilver                                    4      8.00   4211.60
5347567        Sedano/Elia                                      3      6.61   3477.49
3231760        Zarate/Alexander                                 3      4.39   2312.43
