Anio   2019 Mes:  01
FECHA       LICENCIA                      NOMBRE                                FALTA
====================================================================================================
02/01/2019  15559308         BRAVO CORTES JANET FLOR                             335
02/01/2019  16477908         BACA CAMACHO MILAGROS NATALIA                       115
02/01/2019  47844324         VILCA LEE NESTOR HUGO                               329
03/01/2019  15115705         HERNANDEZ CORRALES GUILLERMO                        170
04/01/2019  90467829         IPARRAGUIRRE PEREZ NICOLAS                          170
04/01/2019  70414420         AVILA REYES TATIANA                                 338
05/01/2019  68310808         CANO POLO MILAGROS ISABEL                           306
05/01/2019  81485316         JUSTINO MARTINEZ ENRIQUE                            327
06/01/2019  31107104         MOSCOSO ARIAS FIORELLA                              154
06/01/2019  60335381         DIAZ TANG ENRIQUE                                   337
07/01/2019  79766395         FUENTES ESCALANTE PATRICIA ELIZABETH                305
08/01/2019  77763722         FARFAN SALAZAR MARGOT                               115
09/01/2019  79672079         CONTRERAS CHANG JOHANA CINTHIA                      305
09/01/2019  15029228         VALVERDE MAEIREIZO MELVIN JAIR                      304
09/01/2019  35671623         EPIQUEN YEP GUIDA VICTORIA                          157
10/01/2019  26522329         SANCHEZ DEL CASTILLO FIORELLA ROSARIO               323
10/01/2019  88167677         PRADO VERA JUAN                                     148
12/01/2019  19963454         SALAMANCA CABRERA NESTOR EVERT                      111
12/01/2019  81485316         JUSTINO MARTINEZ ENRIQUE                            320
12/01/2019  45043076         VEGA VILCARA CARMELA TERESA                         334
14/01/2019  77367073         JAUREGUI DEL CASTILLO VICTOR RICARDO                336
16/01/2019  34976629         LOZADA ARGUEDAS FELICITA VALENTINA                  334
16/01/2019  47528229         SAAVEDRA GONZALES WILMER                            149
16/01/2019  35683701         DIAZ MOYA ELIA ANNIE                                314
16/01/2019  27864822         FIGUEROA MEDINA MADELEINE                           318
17/01/2019  77367073         JAUREGUI DEL CASTILLO VICTOR RICARDO                132
18/01/2019  84186239         RIVERO CORONADO HECTOR ALONSO                       330
18/01/2019  48878256         RAFFO CORONADO ROLANDO                              310
19/01/2019  30046639         SALAMANCA VEGA VIRGINIA MARTHA                      136
20/01/2019  25518120         RONDON CABRERA ALEXANDER ADOLFO                     103
20/01/2019  73567806         ARCA SANCHEZ MAGALI BEATRIZ                         306
21/01/2019  85501710         VIZCARDO SINCHE MARIBEL                             206
21/01/2019  53853385         SOLIS NARVAEZ MARIA MADELEINE                       323
22/01/2019  52002275         CASANOVA ZEGARRA MARITZA                            117
22/01/2019  81799482         CERNA CERNA CINTHIA                                 309
23/01/2019  64532449         INFANTES MERCADO LUIS WALDEMAR                      162
25/01/2019  64532449         INFANTES MERCADO LUIS WALDEMAR                      108
25/01/2019  36079131         ZAVALETA VILCA ERICKA ELEONOR                       308
25/01/2019  27185429         SOLIS CHUNG ROLANDO                                 327
26/01/2019  70414420         AVILA REYES TATIANA                                 336
29/01/2019  32244565         HENRIQUEZ PAREDES PAUL RAFAEL                       153
29/01/2019  29989682         CAMACHO PAIRAZAMAN YDALI LUCERO                     311
29/01/2019  47844324         VILCA LEE NESTOR HUGO                               335
30/01/2019  21621497         AYALA CASTILLO ERICKA OFELIA                        321
30/01/2019  54447051         AVILA DEL CASTILLO ANNIE                            304
30/01/2019  35683701         DIAZ MOYA ELIA ANNIE                                155
31/01/2019  21621497         AYALA CASTILLO ERICKA OFELIA                        163

Anio   2019 Mes:  02
FECHA       LICENCIA                      NOMBRE                                FALTA
====================================================================================================
02/02/2019  51929951         CHAVEZ BERROCAL JOHAN                               325
03/02/2019  27864822         FIGUEROA MEDINA MADELEINE                           140
04/02/2019  71578206         ARROYO TOMASICHE NATALIA                            123
06/02/2019  34248357         LEYVA LANDEO NANCY SONIA                            308
06/02/2019  49428502         RIVERO CORTEZ WILVER ALFONSO                        152
06/02/2019  90467829         IPARRAGUIRRE PEREZ NICOLAS                          107
07/02/2019  34248357         LEYVA LANDEO NANCY SONIA                            157
08/02/2019  15559308         BRAVO CORTES JANET FLOR                             150
08/02/2019  82031355         EGUSQUIZA BERROCAL DORIS NANCY                      133
08/02/2019  69494747         MENDOZA ROMERO VIRGINIA YDALI                       117
10/02/2019  97849227         PRADO ESPINOZA MILAGROS                             101
11/02/2019  19963454         SALAMANCA CABRERA NESTOR EVERT                      151
11/02/2019  34248357         LEYVA LANDEO NANCY SONIA                            103
12/02/2019  96693273         VALDERRAMA BERROCAL EVERT                           131
14/02/2019  47528229         SAAVEDRA GONZALES WILMER                            311
14/02/2019  73567806         ARCA SANCHEZ MAGALI BEATRIZ                         130
15/02/2019  50200823         LEYVA SAM DIANA DELIA                               165
15/02/2019  87495937         MORALES PASQUEL KARIN MARIBEL                       304
16/02/2019  35912665         MARTINEZ CRUZ EVERT RONY                            124
17/02/2019  29833157         HIJAR LAM MARTIN                                    201
18/02/2019  49927087         INGA PALOMARES ERIKA                                328
18/02/2019  80457845         NORABUENA MOYA HECTOR                               202
20/02/2019  21621497         AYALA CASTILLO ERICKA OFELIA                        332
20/02/2019  66849703         MERCADO CORONEL ELIA                                307
21/02/2019  88854166         PINTO ROJAS JUVENAL FRANCISCO                       319
21/02/2019  73357516         TRIGUEROS JUGO LUZ                                  152
23/02/2019  58992942         NARVAEZ CASTILLO JESUS RAFAEL                       159
23/02/2019  15559308         BRAVO CORTES JANET FLOR                             156
24/02/2019  54447051         AVILA DEL CASTILLO ANNIE                            331
25/02/2019  87282766         SUAREZ CHANG GLORIA                                 135
25/02/2019  43454884         ESPINOZA CHANG SHIRLEY                              203
26/02/2019  21621497         AYALA CASTILLO ERICKA OFELIA                        205
26/02/2019  34248357         LEYVA LANDEO NANCY SONIA                            104
28/02/2019  54447051         AVILA DEL CASTILLO ANNIE                            312
28/02/2019  29989682         CAMACHO PAIRAZAMAN YDALI LUCERO                     115

Anio   2019 Mes:  03
FECHA       LICENCIA                      NOMBRE                                FALTA
====================================================================================================
01/03/2019  79766395         FUENTES ESCALANTE PATRICIA ELIZABETH                313
02/03/2019  82031355         EGUSQUIZA BERROCAL DORIS NANCY                      113
04/03/2019  30441350         RETAMOSO SALAMANCA DELIA MARITZA                    324
06/03/2019  26522329         SANCHEZ DEL CASTILLO FIORELLA ROSARIO               207
06/03/2019  87495937         MORALES PASQUEL KARIN MARIBEL                       141
06/03/2019  88167677         PRADO VERA JUAN                                     323
07/03/2019  88167677         PRADO VERA JUAN                                     161
07/03/2019  68310808         CANO POLO MILAGROS ISABEL                           164
08/03/2019  31107104         MOSCOSO ARIAS FIORELLA                              138
08/03/2019  69252518         GORDILLO SANCHEZ RONALD JUVENAL                     325
09/03/2019  81799482         CERNA CERNA CINTHIA                                 104
10/03/2019  12270502         CUEVA FUENTES CINTHIA DELIA                         135
11/03/2019  70414420         AVILA REYES TATIANA                                 106
11/03/2019  81528434         EPIQUEN AVILA ENRIQUE                               311
11/03/2019  50200823         LEYVA SAM DIANA DELIA                               147
12/03/2019  69252518         GORDILLO SANCHEZ RONALD JUVENAL                     147
13/03/2019  64532449         INFANTES MERCADO LUIS WALDEMAR                      130
13/03/2019  60784914         RUIZ ZEVALLOS WALTER RONY                           208
14/03/2019  38862473         WONG MAEIREIZO BEATRIZ                              318
14/03/2019  42956681         POMAJAMBO EGUSQUIZA PAUL                            127
15/03/2019  53374153         SERRANO IBEROS FRANCISCO                            156
16/03/2019  24859596         FLORIAN CUBA CHRISTIAN                              302
17/03/2019  73972114         AVILA MARTEL JAIME MANUEL                           320
17/03/2019  43454884         ESPINOZA CHANG SHIRLEY                              320
18/03/2019  64178096         VIZCARRA CARBAJAL IVAN FAUSTO                       336
18/03/2019  54141214         DURAND MIRANDA MIGUEL JUAN                          152
18/03/2019  73567806         ARCA SANCHEZ MAGALI BEATRIZ                         327
18/03/2019  27864822         FIGUEROA MEDINA MADELEINE                           208
18/03/2019  63736112         ZAMORA ZAVALETA RONAL MANUEL                        135
19/03/2019  77763722         FARFAN SALAZAR MARGOT                               304
19/03/2019  15029228         VALVERDE MAEIREIZO MELVIN JAIR                      152
20/03/2019  52003695         CARBAJAL SALAS MAGDA ZKENIA                         118
20/03/2019  79641328         TOKESHI GUEVARA JAIME                               301
21/03/2019  13219606         RODRIGUEZ MORENO BLANCA OFELIA                      150
