Fecha        DNI           Codigo    Descripcion del Producto                          Cantidad
====================================================================================================
01/01/2019   33397650      285807    YOGHURT BIOBALANCE NUEZ Y FRU.SECOS 250G              4
05/01/2019   45783712      690039    CORAZONES DE OREJONA PZA                              8
05/01/2019   76388967      374253    TE DE MANZANILLA NEBO 24 1GR                          5
01/02/2019   33397650      947176    SALSA DE CHILE HABANERO ROJO 260GR                    6
03/02/2019   76388967      947176    SALSA DE CHILE HABANERO ROJO 260GR                    6
13/03/2019   91897732      204890    LECHE YAQUI DESLACTOSADA 1LT                          6
19/03/2019   33713901      511824    FLAN LALA SABOR VAINILLA 100GR                        7
18/04/2019   48184351      748008    SANDWICH COMBINADA 3 FLORES 150GR                     3
21/04/2019   76388967      935218    FRIJOL AMARILLO KG                                    2
24/04/2019   71378466      308982    YOGHURT P BEBER FRUGGIS FRESA 150GR                   3
06/05/2019   33713901      415932    SOPA MARUCHAN CAMARON 71GR                           11
18/05/2019   79140840      430669    AJO GRANULADO DE CALIFORNIA KIRKLAND 51.             10
19/05/2019   81114108      900698    VAINILLA MOLINA 500ML                                 5
27/05/2019   46462527      178943    YOGHURT P BEBER DURAZNO LIGHT YOP 250GR               1
29/05/2019   79140840      459032    GELATINA DANY LIMON 125GR                             8
02/06/2019   48184351      856894    HARINA MAZATL 5KG                                     5
05/06/2019   33397650      415932    SOPA MARUCHAN CAMARON 71GR                            7
28/06/2019   33397650      412041    TORTILLAS DE MAIZ 1KG                                 9
01/07/2019   45783712      412041    TORTILLAS DE MAIZ 1KG                                 3
10/07/2019   81114108      662083    TAKIS SALSA BRAVA 62GR                                2
13/07/2019   83236386      365379    YOGHURT FRESA CON GRANOLA CHELSY 240GR                4
25/07/2019   48184351      485302    YOGHURT LALA FRESA 240GR                              1
26/07/2019   46462527      748899    NARANJA SIN SEMILLA                                  11
29/07/2019   33397650      941699    MAIZ POZOLERO EXTRA 1KGR                              3
03/08/2019   83236386      406688    CHURROMAIS CON LIMON 38GR                             9
07/08/2019   71984468      874503    GALLETAS LORS SNACKS MARINELA 75GR                    1
15/08/2019   83236386      923804    SAL BAJA PACIFIC BOLSA 1KGR                          11
17/08/2019   33397650      365906    AGUACATE REGIONAL KG.1.000 GR                        11
23/09/2019   17913944      422763    GALLETAS SUAVICREMAS FRESA 158GR                      2
27/09/2019   45783712      979865    GALLETAS MARIAS CUETARA 160GR                        10
06/10/2019   71984468      997564    MANGO ECUATORIANO                                     1
09/10/2019   46462527      900698    VAINILLA MOLINA 500ML                                 5
12/10/2019   46462527      182942    ZAPOTE                                                2
18/10/2019   46462527      397718    LECHE LALA SEMI DESLACTOSADA 1LT                      0
20/10/2019   17913944      675770    JARABE DE MAMEY 1.25KG                                5
02/12/2019   33713901      696000    MEDIA CREMA NESTLE 1LT                                8
03/12/2019   33713901      536472    SABRITAS CASERAS JALAPENO 42GR                        6
16/12/2019   79475585      118050    PAPAYA                                                8
28/12/2019   17913944      696000    MEDIA CREMA NESTLE 1LT                                1
30/12/2019   29847168      935218    FRIJOL AMARILLO KG                                    1
26/01/2020   33713901      126218    TANJERINA                                            11
10/02/2020   32821689      151641    YOGHURT P BEBER LACTIGURT COCO 250G                   4
04/03/2020   29847168      308982    YOGHURT P BEBER FRUGGIS FRESA 150GR                  11
09/03/2020   81114108      118050    PAPAYA                                               11
12/03/2020   46462527      390920    AGUA NIAGARA 500ML                                    5
19/03/2020   71378466      923804    SAL BAJA PACIFIC BOLSA 1KGR                           7
17/04/2020   48184351      856894    HARINA MAZATL 5KG                                    12
19/04/2020   32821689      872819    GELATINA DE LECHE VAINILLA DANETTE 100GR              6
19/04/2020   33713901      406688    CHURROMAIS CON LIMON 38GR                             1
28/04/2020   32821689      422763    GALLETAS SUAVICREMAS FRESA 158GR                      4
30/04/2020   79475585      118050    PAPAYA                                                5
09/05/2020   76388967      997564    MANGO ECUATORIANO                                    12
14/05/2020   79475585      390920    AGUA NIAGARA 500ML                                    4
19/05/2020   57263719      620036    SABRITAS ORIGINAL SAL 490GR                           4
29/05/2020   71378466      459032    GELATINA DANY LIMON 125GR                            10
