Fecha       Licencia    Placa          Infraccion      Monto     Descuento  Puntos    Meses Susp
--------------------------------------------------------------------------------------------------------------
2019/12/31  31107104    E0I-722        Grave           316.00      0.25       100         0
2019/12/31  60335381    E6T-667        Grave           316.00      0.25       100         0
2019/12/31  73567806    A7Y-833        Grave           316.00      0.25       100         0
2019/12/30  16477908    W7C-957        Grave           316.00      0.25       100         0
2019/12/26  35671623    P2Q-870        Muy Grave       474.00      0.00       500         0
2019/12/25  86718074    L4O-783        Grave           316.00      0.25       100         0
2019/12/25  27864822    T9U-338        Grave           316.00      0.25       100         0
2019/12/23  26522329    U7R-252        Grave           316.00      0.25       100         0
2019/12/22  53853385    O4X-603        Grave           316.00      0.25       100         0
2019/12/22  15029228    J0Q-121        Muy Grave       474.00      0.00       500         0
2019/12/21  12270502    P7T-999        Grave           316.00      0.25       100         0
2019/12/21  87495937    L2H-207        Grave           316.00      0.25       200         0
2019/12/20  32244565    W9L-468        Leve            158.00      0.50         0         0
2019/12/20  47528229    G8O-154        Muy Grave      1975.00      0.00       800         3
2019/12/19  35912665    O4X-500        Grave           316.00      0.25       100         0
2019/12/18  54447051    D5W-773        Grave           316.00      0.25       100         0
2019/12/18  16136330    E3U-231        Grave           316.00      0.25       100         0
2019/12/17  12270502    Y5F-449        Muy Grave       474.00      0.00       500         0
2019/12/17  34976629    I0Y-720        Leve            158.00      0.50         0         0
2019/12/16  77367073    H9A-097        Grave           316.00      0.25       100         0
2019/12/16  64532449    J0V-437        Grave           316.00      0.25       100         0
2019/12/15  35912665    O4X-500        Grave           316.00      0.25       100         0
2019/12/10  80457845    M7F-612        Grave           316.00      0.25       100         0
2019/12/10  15029228    C0P-895        Leve            158.00      0.50         0         0
2019/12/07  75945248    K6X-977        Muy Grave       948.00      0.00       600         1
2019/12/06  86718074    L4O-783        Grave           316.00      0.25       100         0
2019/12/05  77367073    N7K-403        Grave           316.00      0.25       100         0
2019/12/05  47844324    X7J-719        Leve            158.00      0.50         0         0
2019/12/04  87495937    M5G-669        Muy Grave       474.00      0.00       500         0
2019/12/03  29989682    W3T-571        Muy Grave      1975.00      0.00       800         3
2019/11/29  49927087    M8Q-758        Grave           316.00      0.25       200         0
2019/11/29  82031355    H6X-124        Grave           316.00      0.25       100         0
2019/11/27  15559308    X6O-905        Grave           316.00      0.25       100         0
2019/11/27  82031355    Z5D-724        Muy Grave       474.00      0.00       500         0
2019/11/27  35671623    V4E-749        Muy Grave       474.00      0.00       500         0
2019/11/27  89314225    C3A-423        Grave           316.00      0.25       100         0
2019/11/26  15559308    S3L-803        Grave           316.00      0.25       100         0
2019/11/26  99950484    L8A-167        Muy Grave       474.00      0.00       500         0
2019/11/25  60784914    C6Q-548        Grave           316.00      0.25       100         0
2019/11/23  27185429    S9I-160        Muy Grave       474.00      0.00       500         0
2019/11/22  26522329    U5W-825        Grave           316.00      0.25       200         0
2019/11/22  77763722    D1M-667        Muy Grave       474.00      0.00       500         0
2019/11/21  19963454    D9A-711        Grave           316.00      0.25       100         0
2019/11/20  32244565    W9L-468        Grave           316.00      0.25       100         0
2019/11/19  27185429    S9I-160        Grave           316.00      0.25       100         0
2019/11/19  79641328    L0L-653        Grave           316.00      0.25       100         0
2019/11/18  32244565    M8W-853        Muy Grave       474.00      0.00       500         0
2019/11/17  30046639    S3F-021        Grave           316.00      0.25       100         0
2019/11/17  16925690    B4I-014        Grave           316.00      0.25       100         0
2019/11/16  47528229    G8O-154        Muy Grave       474.00      0.00       500         0
2019/11/16  51929951    O8J-848        Grave           316.00      0.25       100         0
2019/11/14  69252518    Y0Y-415        Grave           316.00      0.25       100         0
2019/11/13  68303148    H1W-140        Grave           316.00      0.25       100         0
2019/11/12  96693273    F3R-138        Grave           316.00      0.25       100         0
2019/11/12  80457845    M7F-612        Muy Grave       474.00      0.00       500         0
2019/11/12  77763722    A1Q-612        Muy Grave         0.00      0.00      2000        12
2019/11/08  81528434    D6F-465        Grave           316.00      0.25       100         0
2019/11/07  32244565    J1E-736        Muy Grave       474.00      0.00       500         0
2019/11/07  19963454    T9D-604        Muy Grave       474.00      0.00       500         0
2019/11/06  32244565    M8W-853        Grave           316.00      0.25       100         0
2019/11/05  48450395    H6H-085        Muy Grave       474.00      0.00       500         0
2019/11/04  71578206    G7Z-721        Grave           316.00      0.25       100         0
2019/11/04  15115705    N9Q-814        Grave           316.00      0.25       100         0
2019/11/04  48450395    Q5S-871        Grave           316.00      0.25       100         0
2019/11/02  63736112    T9A-930        Grave           316.00      0.25       100         0
2019/11/02  28820944    H2K-127        Grave           316.00      0.25       200         0
2019/11/02  74325123    C2V-710        Muy Grave       948.00      0.00       600         1
2019/11/02  79766395    H7P-047        Grave           316.00      0.25       100         0
2019/11/01  50200823    H1E-399        Grave           316.00      0.25       100         0
2019/10/31  64532449    X3Z-285        Grave           316.00      0.25       100         0
2019/10/31  60784914    P4Y-758        Grave           316.00      0.25       100         0
2019/10/31  50200823    R0P-255        Grave           316.00      0.25       100         0
2019/10/29  85501710    N2C-590        Leve            158.00      0.50         0         0
2019/10/29  87282766    S1D-093        Grave           316.00      0.25       100         0
2019/10/29  54447051    G3Y-654        Grave           316.00      0.25       200         0
2019/10/28  31205866    U6A-456        Grave           316.00      0.25       100         0
2019/10/27  85501710    N2C-590        Grave           316.00      0.25       100         0
2019/10/27  39544560    N4J-043        Grave           316.00      0.25       100         0
2019/10/27  16477908    W7C-957        Grave           316.00      0.25       100         0
2019/10/27  48878256    G2R-979        Grave           316.00      0.25       100         0
2019/10/26  80310768    M1E-751        Muy Grave      5925.00      0.00      2000         6
2019/10/25  84186239    T6W-978        Grave           316.00      0.25       100         0
2019/10/24  73972114    A2F-518        Grave           316.00      0.25       100         0
2019/10/23  82031355    H6X-124        Grave           316.00      0.25       100         0
2019/10/23  52002275    C0S-417        Grave           316.00      0.25       100         0
2019/10/23  67185679    I2P-193        Grave           316.00      0.25       100         0
2019/10/21  63736112    K0D-676        Muy Grave      1975.00      0.00       800         3
2019/10/21  47528229    U0N-343        Grave           316.00      0.25       100         0
2019/10/20  60335381    E6T-667        Grave           316.00      0.25       100         0
2019/10/19  35297848    O7D-970        Muy Grave       474.00      0.00       500         0
2019/10/19  60784914    A8J-929        Muy Grave       474.00      0.00       500         0
2019/10/18  48878256    Z4L-514        Grave           316.00      0.25       100         0
2019/10/18  32090869    L4B-291        Grave           316.00      0.25       100         0
2019/10/18  70414420    A7Y-514        Grave           316.00      0.25       100         0
2019/10/17  99950484    X0R-946        Grave           316.00      0.25       200         0
2019/10/17  63736112    T9A-930        Muy Grave       474.00      0.00       500         0
2019/10/14  35912665    O2Z-308        Grave           316.00      0.25       200         0
2019/10/13  50200823    H1E-399        Grave           316.00      0.25       100         0
2019/10/12  30441350    Q6Q-335        Muy Grave         0.00      0.00      2000        12
2019/10/12  70414420    V9J-051        Muy Grave       474.00      0.00       500         0
2019/10/11  88854166    H3E-885        Grave           316.00      0.25       100         0
2019/10/09  48878256    F2F-895        Grave           316.00      0.25       200         0
2019/10/08  77763722    W2L-827        Grave           316.00      0.25       100         0
2019/10/08  15029228    C0P-895        Grave           316.00      0.25       100         0
2019/10/07  81799482    V7P-711        Muy Grave       948.00      0.00       600         1
2019/10/07  34248357    U0T-459        Muy Grave      1975.00      0.00       800         3
2019/10/07  49428502    T0V-569        Muy Grave       948.00      0.00       600         1
2019/10/06  44188994    M0X-657        Grave           316.00      0.25       100         0
2019/10/05  24859596    A8P-118        Muy Grave       474.00      0.00       500         0
2019/10/04  64178096    I0X-469        Leve            158.00      0.50         0         0
2019/10/04  82031355    J0J-790        Muy Grave      1975.00      0.00       800         3
2019/10/03  88167677    V7U-622        Grave           316.00      0.25       100         0
2019/10/03  87282766    S1D-093        Muy Grave       948.00      0.00       600         1
2019/10/03  75348522    E1L-705        Grave           316.00      0.25       100         0
2019/10/02  70414420    U5T-348        Grave           316.00      0.25       100         0
2019/10/01  53374153    G6I-762        Muy Grave      1975.00      0.00       800         3
2019/10/01  54447051    G3Y-654        Grave           316.00      0.25       100         0
2019/09/30  99950484    Y9W-731        Muy Grave       474.00      0.00       500         0
2019/09/29  64178096    B7V-643        Muy Grave       474.00      0.00       500         0
2019/09/28  69252518    Y0Y-415        Muy Grave      1975.00      0.00       800         3
2019/09/28  50201756    X8O-807        Grave           316.00      0.25       100         0
2019/09/28  90467829    C9H-661        Muy Grave      1975.00      0.00       600         1
2019/09/28  54447051    U5L-205        Grave           316.00      0.25       100         0
2019/09/28  50200823    R0P-255        Grave           316.00      0.25       100         0
2019/09/27  15559308    T8F-368        Grave           316.00      0.25       100         0
2019/09/27  63291514    Z1A-459        Grave           316.00      0.25       100         0
2019/09/26  54141214    J7Y-327        Muy Grave       474.00      0.00       500         0
2019/09/26  38862473    I4B-541        Muy Grave       474.00      0.00       500         0
2019/09/26  35912665    O4X-500        Muy Grave         0.00      0.00      2000        12
2019/09/25  89941095    P6T-244        Grave           316.00      0.25       100         0
2019/09/25  77367073    W4W-684        Grave           316.00      0.25       100         0
2019/09/24  89941095    P6T-244        Grave           316.00      0.25       200         0
2019/09/23  35671623    V4E-749        Muy Grave       474.00      0.00       500         0
2019/09/23  96693273    F3R-138        Muy Grave       474.00      0.00       500         0
2019/09/22  82870470    C4O-436        Grave           316.00      0.25       100         0
2019/09/20  15559308    S3L-803        Grave           316.00      0.25       100         0
2019/09/19  49927087    G7B-252        Grave           316.00      0.25       100         0
2019/09/19  89314225    C3A-423        Grave           316.00      0.25       100         0
2019/09/17  37080813    P7E-145        Leve            158.00      0.50         0         0
2019/09/16  87495937    Z8C-558        Muy Grave      3950.00      0.00       100         6
2019/09/16  52002275    C0S-417        Grave           316.00      0.25       100         0
2019/09/16  12270502    Y5F-449        Muy Grave       474.00      0.00       500         0
2019/09/15  50201756    K5K-595        Grave           316.00      0.25       100         0
2019/09/15  38862473    I4B-541        Muy Grave         0.00      0.00      2000        12
2019/09/15  52002275    C0S-417        Grave           316.00      0.25       100         0
2019/09/14  47844324    X7J-719        Grave           316.00      0.25       200         0
2019/09/13  71832810    Q3M-512        Grave           316.00      0.25       100         0
2019/09/13  71578206    Y9F-491        Muy Grave       711.00      0.00       600         1
2019/09/12  74325123    H0E-855        Grave           316.00      0.25       100         0
2019/09/10  35912665    A6E-125        Muy Grave      3950.00      0.00      1000         6
2019/09/08  64532449    J0V-437        Grave           316.00      0.25       100         0
2019/09/07  79672079    Y3Q-331        Grave           316.00      0.25       100         0
2019/09/06  88167677    V7U-622        Grave           316.00      0.25       100         0
2019/09/06  30046639    S3F-021        Muy Grave      1975.00      0.00       600         1
2019/09/05  88167677    B4C-100        Grave           316.00      0.25       100         0
2019/09/05  50200823    R0P-255        Muy Grave       474.00      0.00       500         0
2019/09/05  53374153    R2T-476        Grave           316.00      0.25       200         0
2019/09/04  44346371    S4J-282        Muy Grave       474.00      0.00       500         0
2019/09/04  13219606    T3B-722        Grave           316.00      0.25       100         0
2019/09/03  53374153    V7L-069        Grave           316.00      0.25       100         0
2019/09/03  47528229    T8Y-354        Grave           316.00      0.25       100         0
2019/09/03  96693273    C0G-556        Grave           316.00      0.25       100         0
2019/09/03  50200823    Q6C-943        Grave           316.00      0.25       100         0
2019/09/02  15559308    S3L-803        Grave           316.00      0.25       100         0
2019/09/02  71832810    W1C-444        Grave           316.00      0.25       100         0
2019/09/02  73357516    G0B-604        Muy Grave         0.00      0.00      2000        12
2019/09/01  53853385    O5L-856        Grave           316.00      0.25       100         0
2019/09/01  77763722    Q4P-612        Muy Grave       474.00      0.00       500         0
2019/09/01  30441350    Q6Q-335        Grave           316.00      0.25       100         0
2019/08/31  81485316    E1N-544        Grave           316.00      0.25       100         0
2019/08/31  89941095    P6N-119        Grave           316.00      0.25       100         0
2019/08/31  48878256    Z4L-514        Muy Grave       474.00      0.00       500         0
2019/08/30  81485316    E1N-544        Grave           316.00      0.25       100         0
2019/08/27  16925690    B4I-014        Grave           316.00      0.25       100         0
2019/08/26  38862473    I4B-541        Muy Grave       948.00      0.00       600         1
2019/08/25  79672079    O3H-954        Grave           316.00      0.25       100         0
2019/08/24  88854166    L3N-150        Muy Grave       474.00      0.00       500         0
2019/08/24  38862473    S6Y-726        Muy Grave       474.00      0.00       500         0
2019/08/21  53374153    V7L-069        Grave           316.00      0.25       100         0
2019/08/20  79766395    N6D-256        Muy Grave       474.00      0.00       500         0
2019/08/20  48878256    G2R-979        Muy Grave       474.00      0.00       500         0
2019/08/18  36079131    I0W-872        Muy Grave       474.00      0.00       500         0
2019/08/18  87495937    L2H-207        Grave           316.00      0.25       200         0
2019/08/16  74325123    C2V-710        Muy Grave      1975.00      0.00       800         3
2019/08/14  32244565    J1E-736        Grave           316.00      0.25       200         0
2019/08/14  47528229    I4H-529        Muy Grave       948.00      0.00       600         1
2019/08/14  60784914    P4Y-758        Grave           316.00      0.25       100         0
2019/08/12  84186239    W9Y-717        Muy Grave       474.00      0.00       500         0
2019/08/11  49927087    X3E-271        Grave           316.00      0.25       100         0
2019/08/10  67185679    I2P-193        Grave           316.00      0.25       100         0
2019/08/10  42956681    L8Z-555        Muy Grave       948.00      0.00       600         1
2019/08/10  79766395    H7P-047        Grave           316.00      0.25       100         0
2019/08/09  87495937    L2H-207        Grave           316.00      0.25       100         0
2019/08/09  73357516    J2K-636        Muy Grave       474.00      0.00       500         0
2019/08/09  16925690    B4I-014        Grave           316.00      0.25       100         0
2019/08/08  34976629    I0Y-720        Grave           316.00      0.25       100         0
2019/08/08  77763722    A1Q-612        Muy Grave      5925.00      0.00      2000         6
2019/08/06  99950484    L8A-167        Grave           316.00      0.25       100         0
2019/08/06  48878256    W6Z-142        Muy Grave      1975.00      0.00       800         3
2019/08/05  54447051    U5L-205        Muy Grave       474.00      0.00       500         0
2019/08/03  32244565    K4F-319        Grave           316.00      0.25       100         0
2019/08/01  42956681    L8Z-555        Grave           316.00      0.25       100         0
2019/07/29  32244565    W9L-468        Grave           316.00      0.25       100         0
2019/07/29  50201756    K5K-595        Grave           316.00      0.25       100         0
2019/07/27  12443643    R8H-409        Grave           316.00      0.25       100         0
2019/07/27  89941095    P6T-244        Muy Grave       474.00      0.00       500         0
2019/07/26  85501710    Z4K-431        Grave           316.00      0.25       100         0
2019/07/26  73567806    E2D-493        Muy Grave       711.00      0.00       600         1
2019/07/24  69252518    P7I-760        Grave           316.00      0.25       100         0
2019/07/24  12270502    P7T-999        Grave           316.00      0.25       100         0
2019/07/23  52002275    C0S-417        Muy Grave       474.00      0.00       500         0
2019/07/22  35912665    O2Z-308        Grave           316.00      0.25       200         0
2019/07/22  26522329    W7R-114        Muy Grave      5925.00      0.00      2000         6
2019/07/21  29989682    W3T-571        Leve            158.00      0.50         0         0
2019/07/18  27864822    T9U-338        Muy Grave       474.00      0.00       500         0
